省份,中心城市,经度,纬度
北京,北京市,116.4,39.9
天津,天津市,117.2,39.12
河北省,保定市,115.47,38.87
山西省,太原市,112.55,37.87
内蒙古自治区,呼和浩特市,111.73,40.83
辽宁省,沈阳市,123.43,41.8
吉林省,长春市,125.32,43.9
黑龙江省,绥化市,126.98,46.63
上海,上海市,121.47,31.23
江苏省,盐城市,120.15,33.35
浙江省,绍兴市,120.57,30
安徽省,合肥市,117.25,31.83
福建省,福州市,119.3,26.08
江西省,抚州市,116.35,28
山东省,莱芜市,117.67,36.22
河南省,许昌市,113.85,34.03
湖北省,荆门市,112.2,31.03
湖南省,娄底市,112,27.73
广东省,广州市,113.27,23.13
广西壮族自治区,来宾市,109.23,23.73
海南省,海口市,110.32,20.03
重庆,重庆市,106.55,29.57
四川省,成都市,104.07,30.67
贵州省,贵阳市,106.63,26.65
云南省,昆明市,102.72,25.05
西藏自治区,拉萨市,91.13,29.65
陕西省,西安市,108.93,34.27
甘肃省,兰州市,103.82,36.07
青海省,西宁市,101.78,36.62
宁夏回族自治区,吴忠市,106.2,37.98
新疆维吾尔自治区,乌鲁木齐市,87.62,43.82
